seed, n_targets, budget, horizon, do_regret_poaching, do_regret_logging, baseline_middle_regret_poaching, baseline_middle_regret_logging, baseline_random_regret_poaching, baseline_random_regret_logging, baseline_maximin_regret_poaching, baseline_maximin_regret_logging, baseline_RARL_regret_regret_poaching, baseline_RARL_regret_regret_logging, n_eval, agent_n_train, nature_n_train, max_epochs, n_perturb, max_interval, wildlife, deterrence, use_wake, freeze_policy_step, freeze_a_step, middle_time, maximin_time, do_time, objective, balance_attract, time, is_toy
0, 4, 2, 3, 0.11769, 0.06616, 0.12953, 0.16751, 0.45269, 0.31216, 0.13024, 0.11127, 0.08756, 0.08248, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.349323034286499, 34.27118897438049, 2350.0059130191803, logging, True, 22-07-2023_20:00:21, False
0, 4, 2, 3, 0.04795, 0.04669, 0.14516, 0.16751, 0.40267, 0.45270, 0.08675, 0.13026, 0.07155, 0.08755, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.5669279098510742, 28.60365390777588, 1995.1571950912476, poaching, True, 22-07-2023_22:46:43, False
0, 4, 2, 3, -0.00000, -0.00000, 0.13002, 0.14104, 0.31593, 0.38118, 0.16638, 0.18380, 0.21763, 0.25574, 100, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 0.8203291893005371, 26.198978900909424, 2738.4016139507294, logging, True, 23-07-2023_02:29:50, False
0, 4, 2, 3, -0.00000, -0.00000, 0.12701, 0.14100, 0.36108, 0.38115, 0.18363, 0.13370, 0.25541, 0.21606, 100, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 1.4269521236419678, 44.92580008506775, 4830.392945289612, poaching, True, 23-07-2023_04:20:21, False
0, 9, 5, 3, 0.00922, 0.02093, 0.02922, 0.02210, 0.98306, 0.96448, 0.39287, 0.29463, 0.75275, 0.69510, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 0.46123409271240234, 30.029000997543335, 3145.664336204529, logging, True, 23-07-2023_11:40:54, False
0, 9, 5, 3, 0.12970, 0.05735, 0.30142, 0.10233, 0.82411, 1.15714, 0.22766, 0.32030, 0.55328, 0.44237, 20, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 0.21556925773620605, 30.455817937850952, 3076.202849149704, poaching, True, 23-07-2023_12:52:15, False
0, 4, 2, 3, 0.02020, 0.01872, 0.12578, 0.16751, 0.40267, 0.31216, 0.13028, 0.03722, 0.08753, 0.03767, 20, 50, 50, 2, 0,  2.0, 1, 1, True, 5, 5, 0.20126891136169434, 17.838937282562256, 408.59725069999695, logging, True, 24-07-2023_11:03:42, False
0, 4, 2, 1, 0.02392, 0.02472, 0.06600, 0.07455, 0.13942, 0.11011, 0.11669, 0.02924, 0.16050, 0.12303, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.08141374588012695, 17.347795009613037, 91.0003969669342, logging, True, 24-07-2023_12:55:48, False
0, 4, 2, 3, 0.02939, 0.08050, 0.12527, 0.20225, 0.40193, 0.60759, 0.15374, 0.13132, 0.07290, 0.20480, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.1978318691253662, 17.919066190719604, 404.3324451446533, logging, True, 25-07-2023_11:34:23, False
0, 4, 2, 3, 0.02343, 0.03985, 0.08833, 0.18998, 0.40267, 0.61487, 0.03722, 0.18897, 0.06320, 0.27472, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19542908668518066, 17.28129482269287, 421.0098080635071, poaching, True, 25-07-2023_11:47:57, False
0, 4, 2, 3, 0.02342, 0.03985, 0.08834, 0.18999, 0.40267, 0.61488, 0.03722, 0.18896, 0.06320, 0.27475, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19570684432983398, 19.026869773864746, 425.0373568534851, poaching, True, 25-07-2023_13:17:19, False
0, 4, 2, 3, 0.02343, 0.03985, 0.08833, 0.18998, 0.40267, 0.61487, 0.03723, 0.18896, 0.06320, 0.27472, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19028782844543457, 19.419291973114014, 457.1499168872833, poaching, True, 25-07-2023_13:32:43, False
0, 4, 2, 3, -0.00000, 0.30017, 0.07490, 0.14086, 0.24494, 0.86284, 0.07513, 0.12708, 0.18022, 0.34646, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.8145236968994141, 18.407774925231934, 400.79228687286377, poaching, True, 25-07-2023_13:47:04, True
0, 4, 2, 3, 0.15181, 0.09469, 0.25434, 0.24737, 0.68737, 0.77448, 0.15207, 0.12849, 0.26268, 0.42070, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.6007893085479736, 18.881493091583252, 416.24082589149475, logging, True, 25-07-2023_14:07:55, True
0, 4, 2, 3, 0.07498, 0.13206, 0.26241, 0.20450, 0.79592, 0.68737, 0.09284, 0.15207, 0.47464, 0.30194, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.7115499973297119, 18.02546191215515, 425.56700110435486, poaching, True, 25-07-2023_14:25:26, True
0, 4, 1, 1, 0.03596, 0.06462, 0.08095, 0.20127, 0.06426, 0.10145, 0.12283, 0.18235, 0.10061, 0.16197, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19610190391540527, 16.794273138046265, 85.172189950943, poaching, True, 25-07-2023_14:46:46, True
0, 4, 1, 1, 0.16537, 0.03445, 0.20127, 0.14076, 0.10145, 0.06426, 0.18235, 0.08957, 0.16197, 0.16043, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.14709687232971191, 15.32312297821045, 85.44032788276672, logging, True, 25-07-2023_14:49:31, True
0, 4, 2, 3, 0.04696, 0.07358, 0.10318, 0.14421, 0.19120, 0.90708, 0.06726, 0.18655, 0.30832, 0.26796, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.5830152034759521, 18.177945137023926, 419.10318303108215, logging, True, 25-07-2023_14:51:50, False
0, 4, 2, 3, -0.00000, 0.30017, 0.07489, 0.12725, 0.24494, 0.86283, 0.07510, 0.12707, 0.18023, 0.33286, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.5645711421966553, 17.98170804977417, 405.07996702194214, poaching, True, 25-07-2023_15:04:46, False
0, 4, 2, 1, -0.00000, 0.02401, 0.04958, 0.04489, 0.13399, 0.25648, 0.04656, 0.11890, 0.08358, 0.05739, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.15011882781982422, 14.70648980140686, 78.82999086380005, poaching, True, 25-07-2023_16:15:38, False
0, 25, 5, 3, 0.86561, 0.27942, 0.75198, 0.55605, 0.97133, 1.24682, 1.50718, 2.72314, 0.29651, 0.73196, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.7431259155273438, 30.930177211761475, 2667.2794444561005, logging, True, 26-07-2023_18:16:47, False
0, 25, 5, 3, 0.21764, 0.19274, 0.86517, 0.86278, 0.98304, 1.02549, 1.26066, 1.81275, 0.59454, 0.20211, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.3789689540863037, 26.227890729904175, 7969.942551851273, poaching, True, 26-07-2023_21:10:21, False
0, 25, 5, 3, 0.70107, 0.32192, 0.76102, 0.50195, 0.93824, 1.28692, 1.53478, 2.60376, 0.29504, 0.67758, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.5793540477752686, 28.36695694923401, 2722.9985449314117, logging, True, 26-07-2023_22:48:35, False
0, 100, 10, 3, 1.18820, -0.00000, 2.15674, 1.88460, 1.60202, 1.65980, 1.64037, -0.00000, 6.01813, 7.49363, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 3.4922289848327637, 35.87191081047058, 3173.1404662132263, logging, True, 26-07-2023_23:12:47, False
0, 100, 10, 3, 1.14119, -0.00000, 2.16840, 1.97602, 1.59315, 1.72559, 1.64424, -0.00000, 5.95421, 7.40885, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 21.116062879562378, 98.88051915168762, 24273.433838129044, logging, True, 27-07-2023_06:45:49, False
0, 25, 10, 3, 0.93947, -0.00000, 1.22502, 1.36371, 2.06698, 2.08641, 2.38874, 4.04796, -0.00000, 0.73152, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.5213141441345215, 36.94853925704956, 2866.7231171131134, logging, True, 27-07-2023_10:56:00, False
